dependent_feature,beta_sign_sum
bedtime_int_log1p_resid,-6.0
bedtime_int_std_log1p_resid,-7.0
sleep_awakeDuration_log1p_resid,-1.0
sleep_awakeDuration_std_log1p_resid,-3.0
sleep_awakeningsCount_log1p_resid,0.0
sleep_awakeningsCount_std_log1p_resid,-3.0
sleep_efficiency_log1p_resid,1.0
sleep_efficiency_std_log1p_resid,-6.0
sleep_minutesAfterWakeup_log1p_resid,-1.0
sleep_minutesAfterWakeup_std_log1p_resid,-1.0
sleep_minutesAsleep_log1p_resid,2.0
sleep_minutesAsleep_std_log1p_resid,-7.0
sleep_minutesAwake_log1p_resid,-3.0
sleep_minutesAwake_std_log1p_resid,-3.0
sleep_restlessDuration_log1p_resid,-1.0
sleep_restlessDuration_std_log1p_resid,-3.0
sleep_timeInBed_log1p_resid,4.0
sleep_timeInBed_std_log1p_resid,-6.0
