feature_set,train_missing_rate_mean,train_missing_rate_sd,test_missing_rate_mean,test_missing_rate_sd,n_unique_cols_dropped_any_fold,n_total_drop_events
CLR_microbe_features,0.47179983349635307,0.006111722642312991,0.47180011967361424,0.006112580783315325,0,0
activity_features_resids,0.0,0.0,0.0,0.0,0,0
all_features,0.42199217218370244,0.01753003024228559,0.42198973136037377,0.017527606272801203,1,40
all_features_minus_activity,0.42591960513883526,0.017693071057441428,0.42591713972849127,0.01769062654475294,1,40
all_features_minus_activity_heartrate,0.42685592723335863,0.01798053105748262,0.4268534430075143,0.017978090678356175,1,40
clinical_features_log1p,0.3703103110051598,0.02718394789450393,0.3703076216910979,0.027182116186012694,1,40
control_covariate_features,0.0,0.0,0.0,0.0,0,0
digestion_features,0.2803669262438252,0.0482683037473011,0.2803705712002041,0.04827396750460233,0,0
diversity_features,0.0,0.0,0.0,0.0,0,0
heartrate_features_resids,0.1753399328082173,0.06603007469580995,0.17534168805406397,0.06603507869832334,0,0
metabolite_features_log,0.5566527538818623,0.02337312889678773,0.5566480461918139,0.02337104053265092,0,0
micom_features_log,0.10561308807595414,0.0004730598915169813,0.10561351929124362,0.00047402361437987885,0,0
microbe_presence_absence_features,0.0,0.0,0.0,0.0,0,0
proteomics_features,0.3719491239240074,0.036801804595221616,0.37195049334095137,0.03679334351720782,0,0
supplement_features,0.0,0.0,0.0,0.0,0,0
