sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.004352317255902069,0.01798575784946489,-0.034948049338556254,0.025466797661713,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.023162873164189992,0.020735378854871377,-0.06253323742901411,0.018959053898766568,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.052867967270401675,0.04651859295111039,-0.17884104555485378,0.01126106007600501,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.03600873949754814,0.027380751797359455,-0.08451589807897877,0.005805233286838644,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.022701996379603583,0.03489394985034187,-0.09598437730524496,0.03245507172093041,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.04488565268719369,0.040147112806722667,-0.12501606622054115,0.008108425160598271,0,0,
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.02896892396947077,0.028706706720964707,-0.08523760871900618,0.011794143408385725,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,-0.06352521729356261,0.03986595278279844,-0.14966316065719656,0.011839023076111512,0,0,
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,0.0007264545886397855,0.024293513732952708,-0.05170495679241171,0.042848285232896216,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.019568700784382467,0.015017436447071686,-0.04897935305386646,0.0033752409415616605,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.030643170643278782,0.01709074107894536,-0.06743422983153541,-0.0029474270615838863,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.0262977803780433,0.014403030730894049,-0.048659508609588176,0.004358398088961798,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,0.0024802379371652306,0.028698066458377608,-0.055842418823978494,0.04325823648795699,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.0587489025789746,0.04425915342634482,-0.14312201784996345,0.008241900407662385,0,0,
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.04759315127265084,0.04157230486198091,-0.13167786550142438,-0.004966156237622961,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.008727720310249518,0.034775112699117,-0.08035292548252845,0.04876349312016229,0,0,
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,-8.307900837376259e-05,0.016917070717320525,-0.031593001942397995,0.03031107592625361,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,-0.0038514145483343172,0.016866946915982662,-0.03343789480669491,0.026351127778961418,0,0,
